t1,t2
1620370285:893218709,1620370285:893107062
1620370286:893166549,1620370286:893066712
1620370287:893238889,1620370287:893150847
1620370288:893230849,1620370288:893154617
1620370289:893251769,1620370289:893187326
1620370290:893171889,1620370290:893119233
1620370291:893270849,1620370291:893229995
1620370292:893209669,1620370292:893180597
1620370293:893278909,1620370293:893261648
1620370294:893275629,1620370294:893270172
1620370295:893580989,1620370295:893587346
1620370296:894218749,1620370296:894236906
1620370297:894314789,1620370297:894344725
1620370298:894304849,1620370298:894346603
1620370299:894286409,1620370299:894339953
1620370300:894343849,1620370300:894409202
1620370301:894345849,1620370301:894419151
1620370302:894281569,1620370302:894355810
1620370303:894400289,1620370303:894468488
1620370304:894385489,1620370304:894442001
1620370305:893948089,1620370305:893992386
1620370306:894342509,1620370306:894374611
1620370307:894412169,1620370307:894432071
1620370308:894426729,1620370308:894434430
1620370309:894377829,1620370309:894373353
1620370310:894403489,1620370310:894386836
1620370311:894351229,1620370311:894322387
1620370312:894479289,1620370312:894438265
1620370313:894391689,1620370313:894338471
1620370314:894436609,1620370314:894371196
1620370315:894439469,1620370315:894361865
1620370316:893975229,1620370316:893885451
1620370317:894453949,1620370317:894351980
1620370318:894447209,1620370318:894333057
1620370319:894502649,1620370319:894376283
1620370320:894493309,1620370320:894358601
1620370321:894160089,1620370321:894024038
1620370322:894615409,1620370322:894484995
1620370323:895512469,1620370323:895393367
1620370324:895513809,1620370324:895406480
1620370325:895563529,1620370325:895468002
1620370326:896568469,1620370326:896484747
1620370327:896707449,1620370327:896635540
1620370328:896620769,1620370328:896560673
1620370329:896673649,1620370329:896625375
1620370330:896724889,1620370330:896688432
1620370331:897619629,1620370331:897595020
1620370332:898603989,1620370332:898591216
1620370333:899604529,1620370333:899603556
1620370334:899674849,1620370334:899685688
1620370335:899715729,1620370335:899738346
1620370336:899615429,1620370336:899649852
1620370337:899752029,1620370337:899798257
1620370338:899724109,1620370338:899782118
1620370339:899714189,1620370339:899780125
1620370340:899684769,1620370340:899751631
1620370341:899711029,1620370341:899771841
1620370342:899668749,1620370342:899717860
1620370343:899679329,1620370343:899716276
1620370344:899738289,1620370344:899763066
1620370345:899744849,1620370345:899757448
1620370346:899701569,1620370346:899701991
1620370347:899756429,1620370347:899744647
1620370348:899812809,1620370348:899788841
1620370349:899837449,1620370349:899801273
1620370350:899785809,1620370350:899737425
1620370351:899735269,1620370351:899674685
1620370352:899787489,1620370352:899714716
1620370353:899807389,1620370353:899722412
1620370354:899853169,1620370354:899756003
1620370355:899776549,1620370355:899667195
1620370356:900035249,1620370356:899913690
1620370357:899773749,1620370357:899639987
1620370358:899849809,1620370358:899707723
1620370359:899791289,1620370359:899647872
1620370360:900038349,1620370360:899900610
1620370361:899858329,1620370361:899731888
1620370362:899879469,1620370362:899764832
1620370363:899838769,1620370363:899735926
1620370364:899847769,1620370364:899756723
1620370365:899840609,1620370365:899761391
1620370366:899902869,1620370366:899835470
1620370367:899924649,1620370367:899869062
1620370368:899819389,1620370368:899775603
1620370369:900308949,1620370369:900276960
